elkYear,reclass,notes,manualSpStart,manualSpEnd,manualFaStart,manualFaEnd,elk,year
10_1,disperser,,6-17,6-27,,,10,1
10_2,migrant,,3-9,3-10,5-25,5-29,10,2
100_1,migrant,,4-6,4-25,9-22,1-10,100,1
100_2,migrant,,3-30,5-6,10-17,11-19,100,2
101_1,migrant,,5-14,5-16,11-5,11-11,101,1
101_2,migrant,,5-3,5-15,11-23,11-25,101,2
102_1,migrant,,4-30,5-7,10-11,10-26,102,1
102_2,migrant,,4-22,5-3,11-25,11-27,102,2
1132_1,migrant,,4-1,4-15,11-23,12-8,1132,1
1132_2,migrant,,4-14,4-23,,,1132,2
1133_1,disperser,,5-26,6-30,9-26,12-5,1133,1
1133_2,disperser,,4-20,7-2,8-7,8-9,1133,2
1137_1,migrant,,4-1,4-22,11-22,12-18,1137,1
1137_2,migrant,no return,4-13,4-26,,,1137,2
1138_1,migrant,,4-2,4-20,12-5,12-9,1138,1
1138_2,migrant,no return,4-19,5-10,,,1138,2
1139_1,migrant,,8-20,8-21,10-9,10-10,1139,1
1139_2,migrant,,4-17,4-20,10-26,10-27,1139,2
1142_1,migrant,,4-22,5-8,11-23,11-24,1142,1
1142_2,migrant,,6-27,7-22,11-15,11-20,1142,2
1143_1,migrant,,4-27,4-30,1-8,1-19,1143,1
1143_2,migrant,no return,4-16,4-25,,,1143,2
1144_1,migrant,,8-20,8-22,10-2,10-4,1144,1
1144_2,migrant,no return,3-30,4-9,,,1144,2
1147_1,migrant,,5-3,5-10,11-23,12-29,1147,1
1147_2,migrant,no return,5-1,5-7,,,1147,2
1148_1,migrant,,4-1,4-8,11-30,12-8,1148,1
1148_2,migrant,,5-28,6-2,,,1148,2
1149_1,migrant,,6-30,7-2,11-11,11-20,1149,1
1149_2,migrant,,5-15,6-6,9-29,10-1,1149,2
1151_1,migrant,,8-21,8-22,10-2,10-8,1151,1
1151_2,migrant,no return,8-6,8-7,,,1151,2
1152_1,migrant,,5-18,7-20,8-22,10-10,1152,1
1152_2,migrant,,6-12,6-17,8-7,8-8,1152,2
1153_1,migrant,,4-1,4-24,11-21,12-08,1153,1
1153_2,migrant,no return,4-23,5-5,,,1153,2
1154_1,migrant,,3-21,4-29,12-5,12-21,1154,1
1154_2,migrant,no return,3-28,5-5,,,1154,2
1157_1,migrant,,3-26,5-18,10-10,12-08,1157,1
1157_2,migrant,no return,3-4,5-28,,,1157,2
1159_1,migrant,,8-19,8-21,11-11,12-8,1159,1
1159_2,migrant,no return,4-9,4-28,,,1159,2
1160_1,migrant,,8-22,8-23,10-1,10-6,1160,1
1160_2,resident,,,,,,1160,2
1161_1,migrant,,3-13,5-25,10-10,12-8,1161,1
1161_2,migrant,no return,3-28,5-31,,,1161,2
1162_1,migrant,,4-10,4-13,11-17,12-8,1162,1
1162_2,migrant,no return,4-1,4-23,,,1162,2
1163_1,migrant,,3-25,4-24,1-11,1-19,1163,1
1163_2,migrant,no return,4-16,4-20,,,1163,2
1164_1,migrant,,5-2,5-13,12-4,12-8,1164,1
1164_2,migrant,no return,4-14,4-25,,,1164,2
1165_1,migrant,,5-19,7-2,10-14,11-27,1165,1
1165_2,migrant,no return,4-23,6-11,,,1165,2
1166_1,migrant,,5-2,5-31,10-30,11-13,1166,1
1166_2,migrant,,5-1,6-12,11-1,11-7,1166,2
1166_3,migrant,,5-17,5-26,10-20,10-28,1166,3
1167_1,migrant,,5-22,6-4,11-30,12-10,1167,1
1167_2,migrant,,6-12,7-4,12-20,1-2,1167,2
1167_3,migrant,,5-19,5-25,12-06,12-26,1167,3
1169_3,migrant,,7-1,7-4,11-15,11-21,1169,3
1169_4,migrant,,7-3,7-24,1-21,1-28,1169,4
1170_1,migrant,,5-13,06-09,10-27,11-21,1170,1
1170_2,migrant,no return,4-29,5-24,,,1170,2
1173_1,migrant,,5-19,6-17,10-28,12-11,1173,1
1173_2,migrant,,4-28,6-17,11-1,11-28,1173,2
1173_3,migrant,,5-18,5-31,10-05,11-06,1173,3
1174_1,migrant,,5-17,5-28,10-30,12-10,1174,1
1174_2,migrant,no return,4-21,5-19,,,1174,2
1176_1,migrant,,6-13,7-3,11-15,12-4,1176,1
1176_2,migrant,,5-2,06-08,11-08,12-4,1176,2
1176_3,migrant,no return,6-6,6-15,,,1176,3
1178_1,migrant,,5-15,6-13,10-29,11-13,1178,1
1178_2,migrant,,6-19,6-29,10-31,11-17,1178,2
1178_3,migrant,,6-6,6-11,10-9,11-8,1178,3
118_1,migrant,,4-18,5-27,12-2,12-5,118,1
118_2,migrant,,3-6,4-1,12-19,12-21,118,2
1181_1,migrant,,4-25,5-24,11-30,12-4,1181,1
1181_2,migrant,,3-28,5-3,12-20,12-31,1181,2
1181_3,migrant,,4-21,5-20,12-1,12-23,1181,3
119_1,migrant,,5-1,6-7,11-12,12-4,119,1
119_2,migrant,,3-3,5-18,11-6,12-2,119,2
122_1,migrant,,3-30,6-4,11-21,12-30,122,1
122_2,migrant,,4-21,5-12,11-29,12-9,122,2
123_1,migrant,,3-14,6-12,11-6,12-28,123,1
123_2,migrant,no return,4-2,5-16,,,123,2
1233_1,migrant,,4-16,4-22,11-6,12-17,1233,1
1233_2,migrant,,3-13,3-16,10-15,10-22,1233,2
1233_3,migrant,,4-1,4-5,10-10,10-14,1233,3
1233_4,migrant,,2-28,3-16,9-28,11-14,1233,4
1233_5,migrant,,5-4,5-7,10-15,11-19,1233,5
1234_1,migrant,,5-1,5-7,9-8,9-10,1234,1
1234_2,migrant,,3-14,3-18,7-25,7-30,1234,2
1235_1,resident,,,,,,1235,1
1235_2,resident,,,,,,1235,2
1236_1,migrant,,4-15,5-1,12-14,12-20,1236,1
1236_2,migrant,,2-4,4-16,10-27,12-27,1236,2
1239_1,resident,,,,,,1239,1
1239_2,resident,,,,,,1239,2
1240_1,migrant,,4-3,5-18,7-24,10-2,1240,1
1240_2,migrant,,4-29,5-1,10-2,10-5,1240,2
1240_3,migrant,,6-1,6-4,9-6,9-13,1240,3
1240_4,migrant,,4-8,4-22,7-11,9-17,1240,4
1240_5,migrant,,5-3,5-5,6-26,9-22,1240,5
1245_1,migrant,,4-30,5-3,11-10,11-17,1245,1
1245_2,migrant,,4-27,4-30,10-19,10-21,1245,2
1246_1,migrant,,4-20,5-7,11-8,12-21,1246,1
1246_2,migrant,,3-11,3-18,10-22,11-5,1246,2
1248_1,resident,,,,,,1248,1
1248_2,resident,,,,,,1248,2
1248_3,resident,,,,,,1248,3
1249_1,migrant,,5-3,5-9,11-8,11-10,1249,1
1249_2,migrant,,5-4,5-16,9-23,10-13,1249,2
1249_3,migrant,,4-30,5-9,10-8,10-15,1249,3
1249_4,migrant,,4-6,6-27,9-4,10-19,1249,4
1250_1,migrant,,4-14,4-20,11-8,11-13,1250,1
1250_2,migrant,,3-9,3-14,10-16,10-20,1250,2
1252_1,migrant,,5-13,5-14,9-9,9-11,1252,1
1252_2,migrant,,5-18,5-25,8-29,9-8,1252,2
1252_3,migrant,,5-1,5-6,10-22,10-26,1252,3
1253_1,resident,,,,,,1253,1
1253_2,resident,,,,,,1253,2
1294_1,migrant,,5-3,7-5,10-22,10-24,1294,1
1294_2,migrant,no return,6-9,6-19,,,1294,2
1306_1,migrant,,5-19,5-24,11-4,11-27,1306,1
1306_2,migrant,,5-23,6-2,12-4,12-9,1306,2
1311_1,disperser,,5-6,5-19,11-29,1-26,1311,1
1311_2,migrant,no return,3-18,5-2,,,1311,2
134_1,migrant,big mig after return,7-29,7-30,8-23,9-1,134,1
134_2,migrant,no return,4-1,4-23,,,134,2
135_1,migrant,same as 134,6-20,6-22,9-15,10-4,135,1
135_2,migrant,,3-28,6-24,9-26,10-6,135,2
1358_1,migrant,,6-18,6-30,7-28,8-3,1358,1
1358_2,migrant,no return,5-15,6-2,,,1358,2
1359_1,migrant,,4-29,6-6,9-23,11-2,1359,1
1359_2,migrant,no return,5-4,5-13,,,1359,2
1368_1,migrant,,5-5,5-13,11-7,11-25,1368,1
1368_2,migrant,no return,5-15,5-19,,,1368,2
137_1,migrant,,6-18,6-19,8-3,8-4,137,1
137_2,migrant,,4-9,6-17,7-27,7-30,137,2
1379_1,migrant,,5-3,5-6,10-29,11-12,1379,1
1379_2,migrant,,5-2,5-19,11-7,11-26,1379,2
139_1,migrant,,6-18,6-21,9-18,9-23,139,1
139_2,migrant,,6-26,6-27,9-22,10-2,139,2
14_1,migrant,,6-20,8-13,9-27,11-25,14,1
14_2,migrant,no return,6-3,6-13,,,14,2
140_1,migrant,,4-21,6-4,10-30,12-11,140,1
140_2,migrant,,4-30,5-27,10-4,12-21,140,2
1406_1,migrant,,7-3,7-7,11-15,11-23,1406,1
1406_2,migrant,,6-9,6-11,9-22,9-24,1406,2
1409_1,resident,,,,,,1409,1
1409_2,migrant,no return,4-23,4-25,,,1409,2
143_1,migrant,disperser,4-25,6-20,10-29,12-2,143,1
143_2,migrant,2 yr mig?,4-14,5-1,,,143,2
145_1,migrant,disperser,4-14,5-17,11-18,11-28,145,1
145_2,migrant,2 yr mig?,4-26,5-11,11-16,12-1,145,2
146_1,migrant,,4-25,6-15,11-6,11-19,146,1
146_2,migrant,,5-17,5-25,10-6,10-8,146,2
1463_1,migrant,,4-11,6-26,10-29,10-31,1463,1
1463_2,migrant,,5-3,5-18,9-4,9-16,1463,2
1463_3,migrant,,5-14,5-29,9-16,9-20,1463,3
1463_4,migrant,,5-21,6-5,8-16,8-29,1463,4
1463_5,migrant,,5-23,6-2,7-26,9-8,1463,5
1467_1,migrant,,4-22,4-26,11-25,12-15,1467,1
1467_2,migrant,,4-27,4-30,9-27,10-8,1467,2
1467_3,migrant,,4-15,4-24,10-25,10-28,1467,3
1467_4,migrant,,4-14,4-18,10-4,10-10,1467,4
1468_1,migrant,,6-15,6-16,12-2,1-10,1468,1
1468_2,migrant,,4-27,5-9,11-24,1-6,1468,2
1468_3,migrant,,4-30,5-11,1-6,1-13,1468,3
1468_4,migrant,no return,4-30,5-16,,,1468,4
147_1,migrant,,5-8,6-14,11-13,12-3,147,1
147_2,migrant,,5-8,6-9,10-9,10-23,147,2
1472_1,migrant,,4-17,5-5,12-5,1-10,1472,1
1472_2,migrant,,4-14,4-22,11-20,1-6,1472,2
1472_3,migrant,,3-20,4-8,1-8,1-10,1472,3
1472_4,migrant,,4-8,4-13,12-17,12-24,1472,4
1472_5,migrant,,3-11,5-2,11-26,11-28,1472,5
1474_1,migrant,,5-22,5-28,11-29,12-5,1474,1
1474_2,migrant,,4-21,4-22,11-23,11-27,1474,2
1474_3,migrant,,4-25,4-29,1-1,1-18,1474,3
1474_4,migrant,,4-21,5-4,12-17,12-18,1474,4
1474_5,migrant,no return,3-31,4-1,,,1474,5
1476_1,migrant,,5-23,7-22,11-18,2-7,1476,1
1476_2,migrant,,4-16,5-11,11-9,12-27,1476,2
1476_3,migrant,,4-26,5-18,11-15,1-10,1476,3
1476_4,migrant,,4-20,5-12,11-10,12-24,1476,4
1476_5,migrant,,3-15,5-2,11-4,12-1,1476,5
148_1,migrant,,4-21,6-3,9-16,10-22,148,1
148_2,migrant,,5-27,6-11,10-2,10-14,148,2
1482_1,migrant,,4-1,5-25,11-25,2-12,1482,1
1482_2,migrant,,3-25,4-24,12-3,12-18,1482,2
1483_1,migrant,,4-28,4-29,10-24,10-29,1483,1
1483_2,migrant,no return,4-20,5-7,,,1483,2
1485_1,migrant,,5-4,6-4,9-14,9-27,1485,1
1485_2,migrant,,5-18,6-2,8-22,9-24,1485,2
1485_3,migrant,no return,5-21,6-7,,,1485,3
1487_1,migrant,,5-13,5-15,10-20,10-22,1487,1
1487_2,migrant,,5-23,5-26,10-3,10-5,1487,2
1487_3,migrant,,5-16,5-17,9-20,10-3,1487,3
1487_4,migrant,,5-29,6-2,9-26,10-7,1487,4
149_1,migrant,,7-20,7-21,11-11,11-28,149,1
149_2,migrant,,7-12,7-18,10-6,11-12,149,2
149_3,disperser,,5-3,6-23,,,149,3
149_4,migrant,,7-5,7-12,10-9,10-12,149,4
1492_1,migrant,,4-13,4-19,11-6,11-8,1492,1
1492_2,migrant,,4-19,4-26,10-17,11-28,1492,2
1492_3,migrant,,4-16,4-21,10-9,10-17,1492,3
1492_4,migrant,,5-3,5-15,10-12,10-18,1492,4
1493_1,migrant,,5-2,5-3,10-11,10-19,1493,1
1493_2,migrant,,4-21,4-22,10-26,11-1,1493,2
1493_3,migrant,,5-5,5-7,10-3,10-8,1493,3
1493_4,migrant,,5-15,5-27,9-22,9-30,1493,4
1496_1,migrant,,5-2,5-4,10-13,10-14,1496,1
1496_2,migrant,,5-25,5-26,11-21,11-29,1496,2
1496_3,resident,,,,,,1496,3
1496_4,resident,,,,,,1496,4
1497_1,resident,,,,,,1497,1
1497_2,resident,,,,,,1497,2
1497_3,resident,,,,,,1497,3
1498_1,migrant,,4-28,5-5,10-13,10-16,1498,1
1498_2,migrant,,5-4,5-5,10-6,10-8,1498,2
1498_3,migrant,,5-8,5-25,10-5,10-9,1498,3
1498_4,migrant,,5-10,5-20,10-3,10-6,1498,4
1499_1,migrant,,5-21,5-23,9-4,9-10,1499,1
1499_2,migrant,,5-17,5-19,9-6,9-8,1499,2
150_1,migrant,,6-21,6-23,11-11,11-25,150,1
150_2,migrant,,6-8,6-19,7-25,7-26,150,2
1501_1,migrant,,5-26,5-27,8-16,8-19,1501,1
1501_2,migrant,,6-1,6-2,9-5,9-6,1501,2
1501_3,migrant,,5-30,5-31,9-25,9-27,1501,3
1501_4,migrant,,6-3,6-4,8-4,8-5,1501,4
1502_1,migrant,,3-27,4-12,11-4,12-3,1502,1
1502_2,migrant,,4-19,5-5,10-3,11-28,1502,2
1502_3,migrant,,4-23,5-17,11-3,11-12,1502,3
1502_4,migrant,no return,5-4,5-23,,,1502,4
1503_1,migrant,,5-1,5-3,10-13,10-15,1503,1
1503_2,migrant,,4-19,4-26,10-5,10-7,1503,2
1503_3,migrant,,5-27,6-2,10-1,10-4,1503,3
1503_4,migrant,,5-21,5-23,9-2,9-20,1503,4
1504_1,migrant,,7-21,7-24,8-22,8-26,1504,1
1504_2,migrant,,6-18,6-27,7-4,7-6,1504,2
1504_3,migrant,no return,7-3,7-9,,,1504,3
151_1,migrant,,6-19,6-25,8-15,9-1,151,1
151_2,migrant,,6-19,6-21,8-12,8-13,151,2
1510_1,migrant,,4-22,4-28,12-13,12-16,1510,1
1510_2,migrant,,7-16,7-17,9-19,9-20,1510,2
1512_1,migrant,,6-8,7-8,12-15,12-16,1512,1
1512_2,migrant,,5-28,5-29,11-29,11-30,1512,2
1516_1,migrant,,4-22,5-10,11-14,12-16,1516,1
1516_2,migrant,,5-1,5-19,9-4,12-8,1516,2
1517_1,migrant,,4-23,4-25,12-13,12-16,1517,1
1517_2,migrant,,5-1,5-4,12-2,12-7,1517,2
152_1,migrant,,5-24,6-4,9-18,10-17,152,1
152_2,migrant,,5-16,5-28,10-7,10-15,152,2
1520_1,migrant,,4-22,5-25,11-14,12-9,1520,1
1520_2,migrant,,4-17,4-23,12-3,12-7,1520,2
153_1,migrant,,4-25,6-24,9-11,11-26,153,1
153_2,migrant,,6-2,6-15,10-7,11-3,153,2
1530_3,migrant,,4-8,5-4,12-21,12-29,1530,3
1530_4,migrant,no return,3-13,4-12,,,1530,4
1537_1,migrant,,3-29,4-11,11-11,1-15,1537,1
1537_2,migrant,,4-1,4-28,11-12,1-25,1537,2
1537_3,migrant,,4-5,5-17,12-4,12-23,1537,3
1537_4,migrant,no return,3-19,4-21,,,1537,4
1539_2,migrant,,4-12,6-21,11-19,1-6,1539,2
1539_3,migrant,,4-9,5-3,11-23,12-3,1539,3
1539_4,migrant,,4-21,5-27,11-6,11-28,1539,4
1539_5,migrant,,4-18,5-21,12-4,1-2,1539,5
1549_1,migrant,,3-25,6-1,12-7,1-7,1549,1
1549_2,migrant,,4-1,5-21,11-12,12-27,1549,2
1549_3,migrant,,4-15,5-23,11-24,12-16,1549,3
1549_4,migrant,,3-13,4-30,11-7,11-16,1549,4
1558_1,resident,,,,,,1558,1
1558_2,migrant,,4-17,4-18,11-6,11-8,1558,2
1558_3,migrant,,5-8,5-31,10-19,10-27,1558,3
1560_1,migrant,,5-26,6-15,10-8,10-25,1560,1
1560_2,migrant,,5-26,6-4,10-28,11-17,1560,2
1560_3,migrant,,5-20,6-17,10-5,10-26,1560,3
1561_2,migrant,,6-7,7-1,10-4,10-16,1561,2
1561_3,migrant,,7-21,7-24,10-2,10-29,1561,3
1563_1,migrant,,5-22,5-23,11-30,12-3,1563,1
1563_2,migrant,,3-30,5-21,11-13,12-3,1563,2
1563_3,migrant,,04-26,05-20,11-03,12-02,1563,3
1565_1,migrant,,5-26,6-30,11-10,12-28,1565,1
1565_2,migrant,,8-1,8-7,1-14,1-19,1565,2
1565_3,migrant,,7-25,8-1,9-9,9-11,1565,3
1566_1,migrant,,5-28,6-23,11-11,1-7,1566,1
1566_2,migrant,,5-12,6-30,9-22,1-30,1566,2
1566_3,migrant,,5-21,7-4,11-22,12-6,1566,3
1567_2,migrant,,6-8,6-26,10-23,1-4,1567,2
1567_3,migrant,,05-19,05-25,12-15,12-30,1567,3
1568_1,migrant,,6-26,8-12,10-3,10-18,1568,1
1568_2,migrant,,6-20,7-6,11-6,11-29,1568,2
1568_3,migrant,,06-18,07-06,10-19,11-06,1568,3
1569_2,migrant,,06-13,06-25,11-04,11-26,1569,2
1569_3,migrant,no return,5-22,5-27,,,1569,3
16_1,migrant,,8-9,8-10,9-10,9-11,16,1
16_2,migrant,,7-13,7-16,9-26,9-28,16,2
1605_1,migrant,,7-27,7-29,11-21,11-22,1605,1
1605_2,migrant,no return,8-12,8-14,,,1605,2
1609_2,migrant,,6-30,7-1,1-10,1-16,1609,2
1609_3,migrant,no return,6-27,6-28,,,1609,3
1674_1,migrant,,05-16,05-24,09-26,10-06,1674,1
1674_2,migrant,,6-27,7-3,9-27,9-30,1674,2
1691_1,migrant,,5-20,6-1,10-31,11-9,1691,1
1691_2,migrant,,5-25,6-7,9-28,10-3,1691,2
17_1,migrant,,05-04,05-26,10-20,11-02,17,1
17_2,migrant,no return,4-21,5-25,,,17,2
1713_1,disperser,,4-28,5-12,,,1713,1
1713_2,resident,,,,,,1713,2
1718_1,migrant,,5-3,5-18,10-8,11-20,1718,1
1718_2,migrant,no return,03-24,07-15,,,1718,2
