elkYear,reclass,notes,manualSpStart,manualSpEnd,manualFaStart,manualFaEnd
353_1,,,05-12,05-17,12-15,12-27
353_2,,no return,3-22,7-2,,
355_1,,,5-30,6-5,11-10,1-3
355_2,,,06-02,06-28,10-08,11-29
356_1,,,5-8,5-24,11-2,2-12
356_2,,,06-01,06-05,11-2,11-28
36_1,,,06-03,06-13,10-25,11-02
36_2,,no return,3-24,5-19,,
376_1,,,4-10,6-7,10-30,11-13
376_2,,,04-30,06-05,10-14,11-18
388_1,,,4-8,6-1,11-22,12-14
388_2,,,5-29,6-3,7-16,7-22
389_1,,,04-16,05-30,10-18,12-10
389_2,,no return,4-9,5-29,,
39_1,,,6-29,7-9,9-30,10-4
39_2,,,5-1,5-3,7-12,7-22
397_1,,,04-09,05-25,09-29,12-20
397_2,,,4-22,5-27,10-27,11-13
4_1,,,6-28,7-7,9-25,10-3
4_2,,no return,7-21,7-31,,
40_1,,,07-09,07-16,12-25,12-28
40_2,,,7-21,7-31,,
402_1,,,5-2,6-1,10-19,11-16
402_2,,,05-26,06-02,09-14,12-07
41_1,,,04-23,06-01,10-23,12-21
41_2,,no return,3-13,6-4,,
42_1,,,05-13,06-12,10-29,01-28
42_2,,no return,5-10,6-2,,
43_1,,,05-11,05-31,09-13,11-24
43_2,,no return,5-4,5-23,,
44_1,,,05-30,06-13,10-22,10-28
44_2,,no return,5-8,6-21,,
45_1,,,05-06,06-02,10-11,11-03
45_2,,no return,5-10,6-2,,
451_1,,,4-10,4-20,12-17,12-22
451_2,,,04-01,04-10,11-14,11-19
452_1,,,4-4,4-10,11-9,11-19
452_2,,,05-01,06-01,10-23,11-04
453_1,,,05-08,06-05,11-10,12-19
453_2,,,5-10,5-28,10-27,11-18
454_1,,,4-16,4-24,12-19,12-24
454_2,,,3-30,4-14,11-16,11-19
454_3,,,4-18,4-22,12-4,12-22
454_4,,,03-30,04-03,12-06,12-21
455_1,,,5-8,5-12,12-12,1-11
455_2,,,04-12,04-27,11-15,11-21
456_1,,,05-07,05-16,11-14,11-20
456_2,,,4-26,4-27,11-16,11-20
457_1,,,05-08,05-11,11-29,12-17
457_2,,no return,5-1,5-27,,
46_1,,,06-26,07-21,10-03,10-24
46_2,,no return,6-19,7-15,,
460_2,,,04-10,04-14,11-14,11-22
460_3,,no return,4-15,4-23,,
465_1,,,04-29,05-16,10-26,11-17
465_2,,no return,5-13,6-16,,
466_1,,,04-14,04-25,11-25,11-27
466_2,,,5-12,6-3,11-6,11-24
468_1,,,5-10,5-13,10-19,11-18
468_2,,,5-19,5-30,12-19,12-22
468_3,,,4-26,5-20,11-28,12-20
468_4,,,5-16,5-23,10-31,11-22
468_5,,,05-02,05-27,11-19,11-23
470_2,,,4-27,4-30,11-26,12-17
470_3,,,4-30,5-23,11-11,12-21
470_4,,,4-15,4-18,11-13,11-21
470_5,,,4-23,6-6,10-27,12-16
470_6,,no return,4-2,4-26,,
478_1,,,5-3,6-12,10-11,11-16
478_2,,,4-21,5-17,10-12,12-10
478_3,,,05-01,05-14,10-14,12-04
479_1,,,4-19,4-23,11-29,12-6
479_2,,no return,3-31,4-5,,
48_1,,,6-7,7-8,11-19,11-28
48_2,,no return,6-7,7-13,,
49_1,,,08-10,08-14,09-18,10-30
49_2,,no return,5-9,5-27,,
5_1,,,05-31,06-11,10-21,11-27
5_2,,no return,5-14,6-18,,
50_1,,,07-16,07-29,10-05,10-11
50_2,,no return,7-1,7-14,,
51_1,disperser,,05-31,06-05,,
51_2,,,,,,
52_1,,,07-18,08-11,10-21,11-06
52_2,,no return,6-10,6-20,,
53_1,,,4-25,4-26,10-15,10-20
53_2,,no return,4-8,4-17,,
531_1,,,4-18,5-22,10-12,12-29
531_2,,,04-24,05-30,10-23,12-03
532_1,,,5-20,5-29,10-3,12-13
532_2,,,5-26,6-7,10-26,11-28
533_1,,,3-23,3-26,10-14,12-22
533_2,,,03-30,04-15,10-24,12-10
534_1,,,,,,
534_2,,,,,,
535_1,,,5-20,5-21,12-18,12-22
535_2,,,6-3,6-5,11-19,11-29
539_1,,,3-12,3-29,12-7,12-12
539_2,,,4-13,4-26,10-23,10-29
54_1,,,05-06,05-14,10-29,12-09
54_2,,no return,4-22,5-17,,
540_1,,,4-19,6-1,9-22,2-19
540_2,,,03-30,06-08,10-26,12-6
542_1,,,5-20,7-3,12-18,12-22
542_2,,,5-24,6-27,10-27,11-27
544_1,,,7-11,7-12,12-18,12-23
544_2,,,5-24,6-7,10-13,12-8
547_1,,,04-13,04-28,12-02,12-07
547_2,,no return,6-7,6-28,,
548_1,,,04-23,05-27,11-17,12-30
548_2,,no return,5-17,5-21,,
549_1,,,3-12,4-5,12-5,12-12
549_2,,,4-12,4-18,11-24,1-16
55_1,,,05-31,06-05,10-03,10-30
55_2,,no return,5-17,5-23,,
550_1,,,04-21,05-13,10-30,12-18
550_2,,no return,4-15,6-24,,
553_1,,,04-21,05-24,10-07,10-06
553_2,,no return,5-19,6-13,,
555_1,,,4-21,7-23,12-18,1-3
555_2,,,04-17,06-06,10-29,01-07
556_1,,,3-23,3-26,12-24,1-14
556_2,,,4-12,4-22,11-24,11-27
558_1,,,4-11,4-20,11-20,12-8
558_2,,,04-17,04-19,11-13,12-06
56_1,,,07-19,08-16,10-31,12-28
56_2,,no return,3-30,8-30,,
560_1,,,5-21,5-23,10-24,10-30
560_2,,,05-27,05-29,10-26,10-30
561_1,,,6-1,6-2,10-28,12-13
561_2,,,6-9,6-13,10-26,11-27
562_1,,,05-28,05-30,12-07,12-12
562_2,,no return,6-15,6-16,,
564_1,,,4-20,4-29,12-17,12-25
564_2,,,03-28,05-22,11-15,12-18
565_1,disperser,,04-19,05-29,10-15,12-19
565_2,,no return,4-16,6-24,,
573_1,,,5-8,5-11,10-18,1-7
573_2,,,05-15,05-18,10-03,12-06
575_1,,,5-14,5-16,11-14,11-24
575_2,,,5-15,5-16,11-18,12-8
578_1,,,5-13,5-23,10-23,11-19
578_2,,,5-17,5-28,10-23,12-6
581_1,,,05-15,06-14,10-17,11-21
581_2,,no return,6-2,6-3,,
582_1,,,3-17,3-26,12-11,1-9
582_2,,,5-24,5-27,2-2,2-6
583_1,,,5-20,5-21,10-24,12-22
583_2,,,03-11,05-13,10-20,12-18
586_1,,,3-14,6-7,2-17,2-19
586_2,,,4-22,6-26,10-17,1-17
588_1,,,04-24,07-03,08-22,11-06
588_2,,,5-12,6-3,10-17,10-25
59_1,,,05-14,06-06,10-22,10-28
59_2,,no return,5-13,5-22,,
591_1,,,5-14,6-25,10-23,11-8
591_2,,,05-10,06-11,10-20,10-22
592_1,,,4-13,6-26,10-23,11-21
592_2,,,05-05,05-15,12-03,12-13
593_1,,,3-31,6-4,12-3,12-15
593_2,,,4-18,5-29,11-18,1-19
594_1,,,3-26,6-26,10-23,12-30
594_2,,,03-13,06-26,11-16,11-19
596_1,,,6-25,6-27,10-20,12-15
596_2,,,05-05,05-25,11-10,11-25
597_1,,,5-30,6-6,10-18,11-13
597_2,,,06-25,07-02,11-09,11-22
598_1,,,3-4,4-24,10-24,12-21
598_2,,,05-01,05-13,10-18,12-13
599_1,,,3-4,5-15,11-16,12-6
599_2,,,04-26,06-05,11-22,12-12
6_1,,,06-29,07-21,10-11,10-28
6_2,,no return,5-2,6-14,,
60_1,,,07-08,07-15,10-29,11-03
60_2,,no return,5-23,7-8,,
602_1,,,03-31,04-24,11-9,11-22
602_2,,no return,3-12,5-20,,
604_1,,,3-10,4-1,12-13,12-30
604_2,,,03-12,06-12,10-06,10-10
605_1,,,4-16,4-24,11-5,11-21
605_2,,,03-13,05-21,12-6,12-12
606_1,,,4-29,5-11,11-6,12-22
606_2,,,04-27,05-18,11-23,01-17
607_1,,,3-14,5-17,10-23,12-15
607_2,,,04-28,05-20,10-17,12-12
637_1,,,6-29,7-13,10-26,11-15
637_2,,,06-07,06-17,11-08,12-24
638_1,,,5-20,6-27,10-27,11-29
638_2,,,05-20,05-28,10-28,11-23
639_1,,,4-30,6-25,10-22,12-3
639_2,,,05-04,06-12,10-24,11-24
641_1,,,4-24,5-30,11-18,11-22
641_2,,,04-28,06-12,11-28,12-13
653_1,,,4-7,5-11,12-15,1-5
653_2,,,03-11,04-18,11-21,12-09
657_1,disperser,,4-17,5-24,10-29,11-23
657_2,,,5-5,6-4,11-20,12-1
657_3,,,03-24,05-01,11-09,12-09
658_1,,,05-03,07-03,11-18,11-29
658_2,,no return,3-23,6-3,,
675_1,,,5-3,6-9,11-12,11-23
675_2,,,5-30,6-2,11-6,12-10
676_1,,,6-7,6-13,11-10,12-25
676_2,,no return,4-11,6-23,,
677_1,,,4-18,4-22,11-10,12-16
677_2,,no return,4-7,6-18,,
678_1,,,5-24,5-25,11-11,1-10
678_2,,no return,5-8,6-5,,
679_1,,,6-8,6-9,11-12,12-24
679_2,,no return,4-11,6-24,,
680_1,,,5-5,5-22,11-9,12-9
680_2,,no return,4-11,6-23,,
681_1,,,6-1,6-3,11-12,2-1
681_2,,no return,4-11,6-3,,
682_1,disperser,,4-19,4-22,10-2,1-31
682_2,disperser,,04-25,05-22,,
683_1,,,6-5,6-9,11-14,11-22
683_2,,no return,4-14,6-25,,
685_1,,,6-12,6-25,10-21,11-1
685_2,,,04-29,06-28,10-27,11-07
686_1,,,,,,
686_2,,no return,4-29,5-7,,
687_1,,,7-10,7-12,10-25,10-26
687_2,,,6-21,6-27,10-30,11-4
688_1,,,5-23,5-29,10-25,11-19
688_2,,,5-29,6-26,11-2,11-6
689_1,,,,,,
689_2,,,,,,
691_1,,,6-21,6-23,10-19,10-31
691_2,,,7-5,7-7,11-6,11-7
692_1,,,,,,
692_2,,,,,,
697_1,,,4-21,5-17,11-12,12-19
697_2,,,05-04,05-23,01-25,01-31
698_1,,,4-21,6-4,10-30,12-23
698_2,,,05-01,05-27,10-07,12-16
7_1,,,07-07,07-09,9-29,11-28
7_2,,,7-1,7-3,9-10,9-11
701_2,,,05-02,06-03,11-17,11-23
701_3,,no return,4-13,5-24,,
702_2,,,4-30,6-6,11-12,12-8
702_3,,,04-15,05-12,11-05,12-23
707_2,,,4-29,06-01,11-13,11-29
707_3,,no return,4-15,5-19,,
710_1,,,4-1,5-22,11-3,11-27
710_2,,,5-6,5-29,10-5,12-17
710_3,disperser,,05-12,05-31,11-08,11-27
711_1,,,6-14,6-22,11-24,12-27
711_2,,,5-1,5-25,11-29,12-18
711_3,,,6-25,7-7,11-3,2-23
712_2,,,4-4,5-4,12-2,12-20
712_3,,,04-24,05-28,11-07,11-12
714_1,,,4-24,6-16,10-21,12-23
714_2,,,5-9,6-6,10-2,1-14
714_3,,,05-01,05-16,11-06,12-27
715_1,,,5-25,5-31,10-15,12-2
715_2,,,5-3,6-3,10-6,12-8
715_3,,,04-23,05-31,09-24,12-22
716_1,,,5-21,6-3,11-20,12-13
716_2,,,4-29,5-22,11-22,12-23
716_3,,,05-17,05-24,11-03,11-05
717_1,,,4-9,5-16,11-1,11-29
717_2,,,5-3,5-20,12-7,3-9
717_3,,,05-16,06-20,11-04,11-21
718_1,,,5-3,7-4,11-1,12-1
718_2,,,5-18,6-12,10-5,12-17
718_3,,,05-12,06-19,10-16,12-31
719_1,,,5-21,5-30,10-29,11-26
719_2,,,5-16,5-19,11-30,12-18
719_3,disperser,,05-12,06-02,08-06,11-17
720_1,,,4-29,5-16,10-22,12-3
720_2,,,4-20,5-16,10-10,12-7
720_3,,,05-02,06-05,10-26,11-08
721_1,,,4-29,5-30,10-28,11-27
721_2,,,5-2,6-6,9-25,12-7
721_3,,,05-11,06-24,09-22,11-07
722_1,,,4-22,5-20,10-23,12-30
722_2,,,5-3,5-13,10-7,12-17
722_3,,,05-05,05-26,10-02,11-21
723_1,,,5-15,5-16,11-20,12-17
723_2,,,5-2,5-11,11-30,12-20
723_3,,,4-30,6-1,11-3,11-10
724_1,,,4-29,5-27,11-1,11-7
724_2,,,4-3,5-4,12-5,1-16
724_3,,,04-15,06-04,11-18,01-14
726_1,,,6-15,6-23,12-7,12-15
726_2,,,5-15,5-22,12-11,12-17
726_3,,,06-19,07-08,10-18,11-05
727_1,,,,,,
727_2,,,,,,
727_3,,,5-1,5-27,10-1,10-30
728_1,,,5-11,5-31,11-6,11-12
728_2,disperser,,5-25,5-31,,
729_1,,,3-2,3-9,11-19,11-25
729_2,,,2-24,3-3,12-4,12-14
729_3,disperser,,1-15,3-4,10-8,12-16
730_1,,,7-3,7-5,8-18,8-20
730_2,,,7-20,7-27,9-25,10-9
730_3,,,7-3,7-5,10-1,10-4
731_1,,,5-7,5-14,2-10,2-28
731_3,,,04-05,06-01,10-01,12-14
732_1,,,,,,
732_3,,,5-26,5-31,10-23,12-4
733_1,,,6-24,6-29,10-26,11-18
733_2,,,7-13,7-15,12-3,12-24
733_3,,,07-10,07-11,10-03,10-11
734_1,,,04-20,05-22,10-10,11-01
734_2,,no return,7-7,8-2,,
736_2,,,5-16,5-30,11-6,1-24
736_3,,,05-06,06-03,10-29,12-08
737_1,,,,,,
737_2,,,,,,
737_3,,R to LDM,7-9,7-27,9-29,10-13
739_1,,,4-27,5-22,10-9,11-21
739_2,,,5-16,6-30,10-10,11-2
739_3,,,05-17,05-28,10-13,11-09
740_2,,,4-27,6-29,10-11,1-11
740_3,,,05-05,06-14,10-24,12-08
741_1,,,5-9,5-13,10-6,10-7
741_2,,,5-16,5-19,1-8,1-11
741_3,,,06-14,06-21,01-12,01-17
743_1,,,05-18,05-27,10-20,10-29
743_2,,no return,8-14,8-20,,
747_1,,,4-27,5-28,10-6,11-1
747_2,,,5-28,7-6,10-10,12-19
747_3,,,05-18,06-24,10-5,10-20
75_1,,,5-23,7-1,10-15,11-17
75_2,,,04-20,04-27,12-16,12-20
750_1,,,3-6,5-6,12-6,12-26
750_2,,,06-03,06-22,08-17,02-06
750_3,,no return,4-20,4-22,,
751_1,,,,,,
751_2,,,7-14,7-19,8-26,9-2
751_3,,,,,,
752_1,,,,,,
752_2,,,3-7,3-19,12-3,12-5
752_3,,no return,6-27,6-28,10-16,10-30
753_1,,,8-3,8-8,11-19,11-25
753_2,,,7-21,7-28,10-4,11-3
753_3,,,2-24,3-6,10-21,11-18
754_1,,,5-3,6-5,10-9,10-22
754_3,,,05-19,06-13,10-19,11-21
755_1,disperser,,6-18,7-3,10-15,12-6
755_2,,,06-09,07-07,10-19,10-24
756_1,,,,,,
756_2,,,,,,
756_3,,,,,,
757_1,,,,,,
757_2,,,,,,
758_1,,,4-8,5-22,10-22,12-4
758_2,,,5-18,6-22,11-9,12-27
758_3,,,05-04,06-15,10-30,1-8
76_1,,,4-9,4-30,11-7,11-11
76_2,,,04-29,05-09,10-19,12-11
761_1,,,3-24,5-16,10-21,11-28
761_2,,,5-15,8-9,1-5,1-18
761_3,,,05-18,05-29,10-8,12-28
762_1,,,3-26,5-11,12-6,12-28
762_2,,,06-03,06-22,08-17,02-06
763_1,,,4-29,7-22,10-6,11-9
763_2,,,6-20,7-7,10-11,2-8
763_3,,,08-02,08-04,10-18,11-6
766_1,,,6-26,7-2,8-18,9-7
766_2,,,6-28,7-2,1-3,1-5
766_3,,,6-27,7-1,12-2,1-26
767_2,,,5-17,6-17,11-26,1-11
767_3,,,6-11,6-16,12-18,12-30
768_1,,,7-25,8-2,9-29,11-24
768_2,,,7-7,7-22,1-10,3-19
768_3,,,07-05,07-18,10-11,02-20
769_1,,,5-17,6-17,1-8,1-11
769_2,,,05-26,05-28,01-10,01-17
77_1,,,4-1,4-24,10-25,11-12
77_2,,,04-15,04-19,10-28,11-26
772_1,,,5-17,7-3,10-10,2-21
772_2,,,05-05,06-17,10-04,01-31
773_1,,,4-18,5-19,12-24,2-11
773_2,,,04-21,05-05,01-17,01-31
778_1,,,6-2,6-6,1-4,1-23
778_2,,,05-18,05-19,01-24,02-11
779_1,,,5-20,6-1,10-31,11-10
779_2,,,05-18,06-01,10-21,01-08
78_1,,,4-8,5-23,11-2,12-14
78_2,,,04-10,04-19,11-10,11-27
781_1,,,7-14,7-17,11-30,12-18
781_2,,,06-17,06-21,10-07,10-12
783_1,,,7-21,7-24,10-6,10-14
783_2,,,5-16,5-24,9-26,10-3
80_1,disperser,,3-29,4-2,10-4,10-20
80_2,,,05-03,05-06,10-19,10-21
81_1,,,05-22,06-01,10-09,11-06
81_2,,no return,5-17,5-31,,
821_1,,,04-26,05-03,11-13,11-19
821_2,,,5-15,6-28,10-25,11-5
823_1,,,05-24,06-03,11-04,11-18
823_2,,,5-25,5-30,,
824_1,,,05-23,05-24,10-11,10-15
824_2,,no return,5-26,6-15,,
825_1,,,04-14,04-28,11-05,11-18
825_2,,,5-26,6-5,10-13,10-25
828_1,,,05-19,05-22,10-25,11-01
828_2,,,5-30,6-6,8-30,10-31
844_1,,,4-14,4-22,11-20,1-5
844_2,,,03-20,04-08,12-07,01-09
845_1,,,4-10,5-6,11-24,1-6
845_2,,,04-19,05-12,01-07,01-24
847_1,,,4-22,4-26,11-21,12-15
847_2,,,04-27,04-30,09-28,10-08
848_1,,,4-1,5-14,11-12,12-30
848_2,,,04-06,05-23,11-29,12-16
849_1,,,4-8,6-21,11-18,1-16
849_2,,,04-17,05-03,11-23,12-03
851_1,,,4-1,4-27,1-22,1-26
851_2,,,04-09,05-17,12-05,12-22
852_1,,,5-25,6-3,9-18,10-18
852_2,,,05-18,05-28,10-09,12-12
854_1,,,05-25,06-02,11-13,12-03
854_2,,,4-24,5-24,10-9,10-24
86_1,,,4-29,5-21,10-31,11-3
86_2,,,04-16,04-19,11-7,11-30
87_1,,,3-25,4-26,11-5,11-12
87_2,,,03-24,04-18,11-26,12-6
870_2,,,3-24,4-13,11-14,11-19
870_3,,,4-18,4-22,11-30,12-22
870_4,,,3-30,4-5,12-8,12-18
876_2,,,4-10,4-13,9-17,11-22
876_3,,no return,4-17,4-23,,
878_2,,,4-23,6-6,10-27,12-7
878_3,,no return,4-1,4-10,,
886_2,,,5-19,6-1,12-19,12-22
886_3,,,4-25,5-19,11-28,12-20
886_4,,,05-17,05-23,10-30,11-23
888_2,,,4-21,5-17,10-12,12-10
888_3,,,05-04,05-10,10-16,12-04
89_1,,,4-29,5-3,11-3,11-7
89_2,,,04-15,04-21,10-24,11-26
9_1,,,05-30,06-19,10-23,11-06
9_2,,no return,5-22,5-31,,
90_1,,,5-7,5-29,11-2,11-6
90_2,,,05-07,06-10,10-16,11-29
91_1,,,4-8,4-21,12-16,12-20
91_2,,no return,4-14,4-15,,
921_1,,,4-17,5-20,11-7,1-2
921_2,,,03-28,05-18,12-08,12-19
922_1,,,5-19,6-8,11-20,12-8
922_2,,,03-15,05-15,12-09,12-18
923_1,,,4-23,5-15,1-15,2-21
923_2,,no return,03-25,04-26,,
924_1,,,4-11,5-14,11-4,12-10
924_2,,,03-23,04-24,11-10,12-19
925_1,,,04-02,05-27,10-08,12-4
925_2,,no return,3-25,6-3,,
926_1,,,05-02,05-07,01-15,01-19
926_2,,,8-11,8-13,10-24,10-27
927_1,,,4-3,5-15,11-7,11-12
927_2,,,03-22,04-26,11-12,11-14
928_1,,,4-13,5-15,11-8,12-28
928_2,,no return,04-03,04-20,,
93_1,,,4-6,4-28,10-22,11-12
93_2,,,03-16,04-15,11-21,11-27
930_1,,,4-21,5-12,11-19,1-10
930_2,,,04-03,06-08,12-16,12-22
931_1,,,4-20,5-13,11-8,1-11
931_2,,,03-26,04-22,10-30,12-04
932_1,,,04-24,05-12,11-10,12-29
932_2,,no return,4-9,4-17,,
933_1,,,5-1,5-29,11-2,12-13
933_2,,,03-20,05-16,10-25,12-20
936_1,,,04-14,05-16,11-22,12-30
936_2,,no return,3-25,5-10,,
937_1,,,04-06,05-13,12-04,12-29
937_2,,no return,3-9,5-12,,
94_1,,,4-7,5-2,10-30,11-10
94_2,,,3-17,5-3,11-21,11-30
95_1,disperser,,10-15,10-17,,
95_2,disperser,,4-18,5-26,,
96_1,,,3-23,4-23,11-7,12-13
96_2,,,3-4,5-3,11-24,11-28